Station,District,Elevation,2016,2017,2018,2019,2020,2021,2022
Kirmi,Humla,2859,516.4,712.7,644.8,945.1,NA,NA,779.4
Ghatya Khola,Humla,2230,707.9,731.6,534.9,1050.3,NA,1241.8,831.6
Thali,Humla,2293,NA,1221.9,1272.1,1289.2,NA,1431.5,1285.8
Bau Khola Bam ,Mugu,2821,695.4,740.6,1043.9,1897.8,1222.7,627.8,758.3
Mangri,Mugu,2257,986.8,833.1,NA,NA,972.3,640.5,NA
Gamtha,Mugu,1848,1661.7,1103.6,2062.1,4855.6,3791,3094.7,2128.3
Seroge,Mugu,2245,NA,765.9,697.6,892.4,NA,744.1,903.5
Chautha,Jumla,2785,1256.7,1228.3,1267.2,2124.2,NA,1545.5,1303.4
Jacha,Jumla,2380,723.9,799.5,800.6,966.6,NA,1145.2,1190.8
Rudu Narakot ,Jumla,2364,692.9,812.5,664,891.8,NA,959,1034.7
Rimichaur,Jumla,2692,1255.8,1331.8,1309.8,1433.9,NA,1440.5,1210.1
Jamna Dillichaur ,Jumla,2438,1197.6,1129.6,1178.5,1123.9,NA,1086.1,1037.3
Tatopani,Jumla,2288,588.2,612.9,493.7,751.3,NA,1021.2,925
Biunthari,Dolpa,2440,423.2,681.5,762.4,NA,NA,937,539.6
Manma,kalikot,1729,1145.7,1352.7,1423.6,1593.7,1775.9,2054,2057.8
Kaigaun,Dolpa,2683,NA,NA,974.4,948.5,NA,NA,NA
Gela,Kalikot,1732,1047.9,898.8,1128.4,1392.5,1374,1650.6,1356.1
Juphal Airport,Dolpa,2475,472.1,538.7,666.2,897.3,NA,727.1,640.6
Hilsa Yari ,Humla,3726,NA,NA,NA,NA,NA,416.2,189.3
Talcha,Mugu,2750,NA,NA,NA,NA,705.8,1326.7,1245.8
Jalkundi,Dang,218,NA,NA,1207.6,1110.4,NA,NA,NA
Jumla Airport,Jumla,2384,736,698,666.9,924.2,NA,NA,855.4
Pusma Camp,Surkhet,953,1404.9,1554.8,1431.9,1558.5,1588.6,1736.1,2188.8
Dailekh,Dailekh,1394,1462.5,1673.8,1652.8,1751.8,1692.8,1827.2,1886.2
Jamu Tikuwa Kuna ,Surkhet,243,908.2,1217.3,1245.5,1220.9,1411.7,1368.6,1841.4
Jajarkot,Jajarkot,1236,NA,NA,NA,1171.1,NA,NA,NA
Surkhet Airport Birendranagar ,Surkhet,683,1427.1,1357,1336.5,1486.1,1808.4,1909.3,1708.4
Kusum,Dang,200,NA,NA,NA,NA,1657.2,1717.1,1486.4
Gulariya,Bardiya,126,1326.5,1047.3,1295.8,1089,1535.1,1468.5,1541.1
Khajura Nepalganj ,Banke,129,1443.8,1142.5,1135.5,NA,1300.9,NA,1507.1
Bale Budha Tallo Dhungeshwor ,Dailekh,590,889.6,1118.6,785.4,1108.3,1296.3,932.1,1400.7
Rajapur,Bardiya,133,1427.5,1642.7,1465,686.2,1699.6,1522.4,1535.6
Naubasta,Banke,161,1421.7,1318.2,1125.8,1447.5,1530.4,1900.2,1724.7
Shyano Shree Chepang ,Bardiya,510,NA,NA,NA,NA,1880.3,2065.6,2150.7
Baijapur,Banke,150,786.4,574,1498.9,1065,1537.9,NA,1250.4
Bargadaha,Banke,166,1865.8,1972.8,1515.3,1084.5,2269.9,1841.4,NA
Nepalgunj Reg Off ,Banke,141,1378.1,NA,1126.8,1555.8,NA,NA,NA
Rani Jaruwa Nursery,Bardiya,145,1082.6,1450.1,1196.4,NA,1968.2,NA,1699.1
Maina Gaun D Bas ,Jajarkot,1913,2486.5,2527.1,2050.2,NA,NA,2428.3,2718.9
